<Trait>	CP_Ratio	CopyNum	Mean.Alk..ng.g
301	1.30436108569686	1.07730474255214	4894.1938178799
302	1.19759322537513	1.17972421374792	6640.64893409354
304	1.20435762584523	1.17423371374187	7375.44027739642
305	1.18855168269231	1.1902884098845	14216.3212900828
306	1.1728487760925	1.20622372701455	20135.5483049273
307	1.12849331713244	1.2512016593869	18968.2351385768
308	1.13612565445026	1.2436049137995	17753.6962073766
310	1.1636690647482	1.21546431473764	12638.8466598672
312	1.18513553768245	1.19292010235997	18196.7960552031
313	1.18568606594742	1.19428227765244	23459.5143429731
314	1.17483684929428	1.20498858217755	16923.0460625852
315	1.11822142106054	1.26181629524662	23769.7587501571
315-1-17 	1.03764052039914	1.38826451399954	17912.2611883021
315-1-18 	1.07502297794118	1.35754337047164	16582.5080211003
315-1-22 	1.17068222165863	1.19340670477117	15851.351441321
315-1-33 	1.12397279682629	1.25750827929412	12166.2904201367
315-1-37 	1.17251725172517	1.20648804400452	17052.0582668977
315-1-45 	1.09567901234568	1.32011344880575	18450.7318339091
315-1-48 	1.13064619321817	1.25147510645201	16065.176868946
315-1-49 	1.08645715006942	1.31672659559497	15470.8961259095
315-1-5 	1.13421936614576	1.24566096637605	16000.8410671752
315-1-6 	1.08772991287512	1.32250152616562	9855.12250994458
315-1-8 	1.06880835927079	1.38119886999733	15260.6594970009
315-2-11 	1.10800863053687	1.2844929680968	23883.3591660525
315-2-14 	1.08274509803922	1.31610556539944	18143.9286428094
315-2-19 	1.11762127410871	1.26348345987546	16064.3624523154
315-2-21 	1.10209754864796	1.29359008821876	19472.7220890084
315-2-22 	1.08278145695364	1.30261861813525	12723.3900870012
315-2-24 	1.17891754882958	1.19944102340397	11874.9833970354
315-2-27 	1.08464885021753	1.322186955906	21770.5468377483
315-2-31 	1.16177141987521	1.21815180423061	14930.6053289281
315-2-34 	1.16946107784431	1.20946665229314	17361.9205138631
315-2-41 	1.07366459627329	1.33907671014151	13904.3993679139
315-2-43 	1.0514950166113	1.34509033821446	10246.8547777265
315-2-46 	1.12839841819081	1.25564255522869	7969.65276314931
315-2-6 	1.12769761205466	1.25573395186312	7813.0745745522
315-2-9 	1.07356577645895	1.34031851945109	15027.4246779752
315-3-1 	0.986282096377066	1.50814044946374	7832.38174524755
315-3-13 	1.09240121580547	1.31406147218532	6892.98724104285
315-3-18 	1.03790793786519	1.3545105152248	7885.22088925819
315-3-19 	1.07584134615385	1.34353411985961	5496.36033907333
315-3-2 	1.05999268381905	1.36533299656237	18624.9248399015
315-3-22 	1.08826468302431	1.34182523378967	8094.74470201181
315-3-33 	1.11620617599257	1.27981526319681	6781.77139249779
315-3-44 	1.15880204528853	1.21925439814056	6462.57218475999
315-3-6 	1.1292605430387	1.2511623851131	7024.89250116108
315-3-8 	1.15755018911842	1.22040554134801	10319.8545068191
315-4-13 	1.1206191588785	1.26028486607982	18315.1051157663
315-4-26 	1.08820674593545	1.32120955986994	18738.9394410138
315-4-28 	1.12558548009368	1.25489207320641	22714.0474334905
315-4-36 	1.12329792009576	1.25675094997767	9876.20964157479
315-4-40 	1.08599329543798	1.29771529301972	21902.2141600875
315-4-42 	1.07728200641587	1.30705845771144	20728.9287700146
315-4-49 	1.13390608798697	1.24592746593533	17188.8831784377
315-4-5 	1.10124399556596	1.29807047227649	20482.5636607666
315-4-7 	1.16380980772097	1.21501610088081	24107.1450646318
315-5-10 	1.13211907027321	1.24863317813532	12572.3851634731
315-5-18 	1.17052194543298	1.20772450927237	13228.3515052274
315-5-3 	1.16517791770391	1.21254722239425	24453.4588436864
315-5-9 	1.15477062875568	1.22370920141425	10553.0976571962
316	1.14243629400501	1.23694104526374	14906.473722354
318	1.17193350307024	1.206965757138	22111.5451577403
319	1.17015550239235	1.20867459558631	18095.633953619
320	1.14676579925651	1.23256732452906	20476.1687320953
320-1-11 	1.1731608478803	1.20846402367614	12578.2475557174
320-5-24 	1.10336374778701	1.28429537529106	5017.46669264661
