"","Treatment","meanCP","ngDNA","CopyNumber"
"1","301-1-15",25.2266666666667,0.05957,197645184
"2","301-1-27",25.9566666666667,0.06102,181212444
"3","301-1-28",26.5833333333333,0.06227,167105800
"4","301-1-33",25.3633333333333,0.05984,194568735
"5","301-1-35",26.37,0.06185,171908062
"6","301-1-38",25.6233333333333,0.06036,188715979
"7","301-1-39",25.8566666666667,0.06083,183463505
"8","301-1-40",26.8566666666667,0.06282,160952902
"9","301-1-43",26.22,0.06155,175284652
"10","301-1-48",26.04,0.06119,179336561
"11","301-2-20",26.7166666666667,0.06254,164104386
"12","301-2-25",25.87,0.06085,183163363
"13","301-2-36",27.1466666666667,0.0634,154424827
"14","301-2-37",24.6566666666667,0.05843,210476228
"15","301-3-10",27.22,0.06355,152774050
"16","301-3-27",26.5833333333333,0.06227,167105800
"17","301-3-31",27.3033333333333,0.06371,150898166
"18","301-3-34",29.5166666666667,0.06813,101074698
"19","301-3-37",26.3833333333333,0.06188,171607920
"20","301-3-40",25.6466666666667,0.06041,188190731
"21","301-3-44",25.9666666666667,0.06104,180987338
"22","301-3-45",26.81,0.06273,162003397
"23","301-3-48",27.3866666666667,0.06388,149022282
"24","301-4-14",25.8933333333333,0.0609,182638116
"25","301-4-18",25.58,0.06027,189691438
"26","301-4-19",26.9166666666667,0.06294,159602266
"27","301-4-20",25.9633333333333,0.06104,181062374
"28","301-4-28",25.92,0.06095,182037833
"29","301-4-32",27.2666666666667,0.06364,151723555
"30","301-4-37",25.49,0.06009,191717392
"31","301-4-38",27.31,0.06372,150748095
"32","301-4-39",25.8866666666667,0.06089,182788187
"33","301-4-43",26.7233333333333,0.06255,163954316
"34","301-5-10",26.09,0.06129,178211031
"35","301-5-13",27.1666666666667,0.06344,153974615
"36","301-5-19",26.5066666666667,0.06212,168831613
"37","301-5-20",32.44,0.07396,35268703
"38","301-5-21",27.1466666666667,0.0634,154424827
"39","301-5-24",25.9133333333333,0.06094,182187904
"40","301-5-31",25.98,0.06107,180687197
"41","301-5-32",26.3133333333333,0.06174,173183663
"42","301-5-41",25.6,0.06031,189241226
"43","304-1-06",27.21,0.06353,152999156
"44","304-1-09",26.2333333333333,0.06158,174984511
"45","304-1-41",26.3,0.06171,173483804
"46","304-2-17",26.2033333333333,0.06152,175659829
"47","304-2-29",26.5,0.06211,168981684
"48","304-3-14",26.3166666666667,0.06174,173108627
"49","304-4-37",27.0266666666667,0.06316,157126099
"50","304-5-08",28.2466666666667,0.06559,129663164
"51","304-5-09",27.1366666666667,0.06338,154649933
"52","304-5-11",26.6166666666667,0.06234,166355447
