Pos,Cp,Treatment,EndoPos_Neg_Water,Primer_Set
B2,27.2,Fresh,Positive,ProA
B3,26.8,Fresh,Positive,ProA
B4,26.62,Fresh,Positive,ProA
B5,24.95,Fresh,Positive,ProA
B6,25.09,Fresh,Positive,ProA
B7,24.88,Fresh,Positive,ProA
B8,24.5,Fresh,Positive,ProA
B9,24.5,Fresh,Positive,ProA
B10,24.55,Fresh,Positive,ProA
B11,25.57,Fresh,Negative,ProA
B12,25.6,Fresh,Negative,ProA
B13,25.64,Fresh,Negative,ProA
B14,25.25,Frozen,Positive,ProA
B15,24.88,Frozen,Positive,ProA
B16,24.77,Frozen,Positive,ProA
B17,21.73,Frozen,Positive,ProA
B18,21.74,Frozen,Positive,ProA
B19,21.91,Frozen,Positive,ProA
B20,22.27,Frozen,Positive,ProA
B21,21.98,Frozen,Positive,ProA
B22,22.37,Frozen,Positive,ProA
C2,30.76,Frozen,Negative,ProA
C3,30.76,Frozen,Negative,ProA
C4,28.53,Frozen,Negative,ProA
C5,38.35,NA,Water,ProA
C6,0,NA,Water,ProA
C7,0,NA,Water,ProA
C8,24.07,Fresh,Positive,TfGap
C9,23.96,Fresh,Positive,TfGap
C10,24.23,Fresh,Positive,TfGap
C11,31.51,Fresh,Positive,TfGap
C12,31.24,Fresh,Positive,TfGap
C13,31.32,Fresh,Positive,TfGap
C14,25.63,Fresh,Positive,TfGap
C15,25.6,Fresh,Positive,TfGap
C16,25.71,Fresh,Positive,TfGap
C17,26,Fresh,Negative,TfGap
C18,25.75,Fresh,Negative,TfGap
C19,25.67,Fresh,Negative,TfGap
C20,24.24,Frozen,Positive,TfGap
C21,24.55,Frozen,Positive,TfGap
C22,24.67,Frozen,Positive,TfGap
D2,24.63,Frozen,Positive,TfGap
D3,24.26,Frozen,Positive,TfGap
D4,24.53,Frozen,Positive,TfGap
D5,23.38,Frozen,Positive,TfGap
D6,23.59,Frozen,Positive,TfGap
D7,23.79,Frozen,Positive,TfGap
D8,23.65,Frozen,Negative,TfGap
D9,23.51,Frozen,Negative,TfGap
D10,23.34,Frozen,Negative,TfGap
D11,33.82,NA,Water,TfGap
D12,0,NA,Water,TfGap
D13,0,NA,Water,TfGap
